#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
243754	1487	5411	107869	111412	-	-	CTBP1	PNN	BARS	DRS|DRSP|SDK3|memA	Reconstituted Complex	physical	Alpatov R (2004)	PUBMED:15542832	9606	9606	Low Throughput	-	-	As a consequence of this interaction Pnn was capable of relieving the CtBP1-mediated repression of E-cadherin promoter activity	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q9H307	-	NP_002678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243755	1487	5411	107869	111412	-	-	CTBP1	PNN	BARS	DRS|DRSP|SDK3|memA	Affinity Capture-Western	physical	Alpatov R (2004)	PUBMED:15542832	9606	9606	Low Throughput	-	-	As a consequence of this interaction Pnn was capable of relieving the CtBP1-mediated repression of E-cadherin promoter activity	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q9H307	-	NP_002678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244129	1487	10320	107869	115604	-	tcag7.1178	CTBP1	IKZF1	BARS	Hs.54452|IK1|IKAROS|LYF1|LyF-1|PPP1R92|PRO0758|ZNFN1A1	Reconstituted Complex	physical	Koipally J (2000)	PUBMED:10766745	9606	9606	Low Throughput	-	-	CtBP interacts with Ikaros isoforms through a PEDLS motif present at the N terminus	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q13422	C9JTB0|R9R4D9|A0A087WU46	NP_001207698|NP_001207699|NP_001278766|NP_001278767|NP_001278768|NP_001278769|NP_001207694|NP_001207695|NP_001207696|NP_001207697|NP_001278775|NP_001278774|NP_001278776|NP_001278771|NP_001278770|NP_001278773|NP_001278772|NP_006051|NP_001207702|NP_001207703|NP_001207700|NP_001207701|NP_001207704|NP_001207705	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244130	1487	10320	107869	115604	-	tcag7.1178	CTBP1	IKZF1	BARS	Hs.54452|IK1|IKAROS|LYF1|LyF-1|PPP1R92|PRO0758|ZNFN1A1	Affinity Capture-Western	physical	Koipally J (2000)	PUBMED:10766745	9606	9606	Low Throughput	-	-	CtBP interacts with Ikaros isoforms through a PEDLS motif present at the N terminus	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q13422	C9JTB0|R9R4D9|A0A087WU46	NP_001207698|NP_001207699|NP_001278766|NP_001278767|NP_001278768|NP_001278769|NP_001207694|NP_001207695|NP_001207696|NP_001207697|NP_001278775|NP_001278774|NP_001278776|NP_001278771|NP_001278770|NP_001278773|NP_001278772|NP_006051|NP_001207702|NP_001207703|NP_001207700|NP_001207701|NP_001207704|NP_001207705	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244131	4091	1487	110266	107869	-	-	SMAD6	CTBP1	AOVD2|HsT17432|MADH6|MADH7	BARS	Affinity Capture-Western	physical	Lin X (2003)	PUBMED:14645520	9606	9606	Low Throughput	-	-	CtBP-binding motif, PLDLS, was identified in the linker region of Smad6; mutation in the motif abolished the Smad6 binding to CtBP and subsequently its repressor activity of transcription	-	BIOGRID	O43541	-	NP_005576|NP_001136333	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244151	1487	5932	107869	111867	-	-	CTBP1	RBBP8	BARS	COM1|CTIP|JWDS|RIM|SAE2|SCKL2	Reconstituted Complex	physical	Li S (1999)	PUBMED:10196224	9606	9606	Low Throughput	-	-	CtIP binds to CtBP and the BRCT repeats of BRCA1 using different motifs	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q99708	A0A024RC34	NP_976037|NP_976036|NP_002885	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244152	1487	5932	107869	111867	-	-	CTBP1	RBBP8	BARS	COM1|CTIP|JWDS|RIM|SAE2|SCKL2	Affinity Capture-Western	physical	Li S (1999)	PUBMED:10196224	9606	9606	Low Throughput	-	-	CtIP binds to CtBP and the BRCT repeats of BRCA1 using different motifs	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q99708	A0A024RC34	NP_976037|NP_976036|NP_002885	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244178	7050	1487	112908	107869	-	-	TGIF1	CTBP1	HPE4|TGIF	BARS	Affinity Capture-Western	physical	Melhuish TA (2000)	PUBMED:10995736	9606	9606	Low Throughput	-	-	Disruption of the PLDLS motif in TGIF abolishes the interaction of CtBP with TGIF and compromises the ability of TGIF to repress transcription	-	BIOGRID	Q15583	-	NP_001265613|NP_777480|NP_001265611|NP_003235|NP_001265615|NP_733796|NP_775299|NP_775302|NP_775303|NP_775300|NP_775301	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244643	8204	1487	113843	107869	-	-	NRIP1	CTBP1	RIP140	BARS	Reconstituted Complex	physical	Castet A (2004)	PUBMED:15060175	9606	9606	Low Throughput	-	-	Motif PIDLS differentially required for in vitro interaction	-	BIOGRID	P48552	A8K171	NP_003480	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244644	8204	1488	113843	107870	-	RP11-59C5.2	NRIP1	CTBP2	RIP140	-	Reconstituted Complex	physical	Castet A (2004)	PUBMED:15060175	9606	9606	Low Throughput	-	-	Motif PINLS differentially required for in vitro interaction	-	BIOGRID	P48552	A8K171	NP_003480	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244822	4193	1487	110358	107869	-	-	MDM2	CTBP1	ACTFS|HDMX|hdm2	BARS	Far Western	physical	Mirnezami AH (2003)	PUBMED:12867035	9606	9606	Low Throughput	-	-	Repress p53 activity through the recruitment of a known transcriptional corepressor, hCtBP2. This interaction, and consequent repression of p53-dependent transcription, is relieved under hypoxia or hypoxia-mimicking conditions that are known to increase l	-	BIOGRID	Q00987	A7UKX8|Q96DS0|A7UKX9|A7UKX7|G3XA89	NP_001354919|NP_001265391|NP_002383|NP_001138811|NP_001138812|NP_001138809	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244823	4193	1487	110358	107869	-	-	MDM2	CTBP1	ACTFS|HDMX|hdm2	BARS	Affinity Capture-Western	physical	Mirnezami AH (2003)	PUBMED:12867035	9606	9606	Low Throughput	-	-	Repress p53 activity through the recruitment of a known transcriptional corepressor, hCtBP2. This interaction, and consequent repression of p53-dependent transcription, is relieved under hypoxia or hypoxia-mimicking conditions that are known to increase l	-	BIOGRID	Q00987	A7UKX8|Q96DS0|A7UKX9|A7UKX7|G3XA89	NP_001354919|NP_001265391|NP_002383|NP_001138811|NP_001138812|NP_001138809	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245055	3065	1487	109315	107869	RP4-811H24.2	-	HDAC1	CTBP1	GON-10|HD1|RPD3|RPD3L1	BARS	Reconstituted Complex	physical	Zhang CL (2001)	PUBMED:11022042	9606	9606	Low Throughput	-	-	Through a CtBP-binding motif (P-X-D-L-R) conserved in MITR and HDACs 4, 5, and 7. Mutation of this sequence in MITR abolishes interaction with CtBP and impairs, but does not eliminate, the ability of MITR to inhibit MEF2-dependent transcription	-	BIOGRID	Q13547	Q6IT96	NP_004955	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245056	8841	1487	114368	107869	-	-	HDAC3	CTBP1	HD3|RPD3|RPD3-2	BARS	Reconstituted Complex	physical	Zhang CL (2001)	PUBMED:11022042	9606	9606	Low Throughput	-	-	Through a CtBP-binding motif (P-X-D-L-R) conserved in MITR and HDACs 4, 5, and 7. Mutation of this sequence in MITR abolishes interaction with CtBP and impairs, but does not eliminate, the ability of MITR to inhibit MEF2-dependent transcription	-	BIOGRID	O15379	-	NP_003874	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245057	9759	1487	115106	107869	-	-	HDAC4	CTBP1	AHO3|BDMR|HA6116|HD4|HDAC-4|HDAC-A|HDACA	BARS	Reconstituted Complex	physical	Zhang CL (2001)	PUBMED:11022042	9606	9606	Low Throughput	-	-	Through a CtBP-binding motif (P-X-D-L-R) conserved in MITR and HDACs 4, 5, and 7. Mutation of this sequence in MITR abolishes interaction with CtBP and impairs, but does not eliminate, the ability of MITR to inhibit MEF2-dependent transcription	-	BIOGRID	P56524	Q86YH7	NP_001365345|NP_001365343|NP_006028|NP_001365344|NP_001365346	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245058	10014	1487	115331	107869	-	-	HDAC5	CTBP1	HD5|NY-CO-9	BARS	Reconstituted Complex	physical	Zhang CL (2001)	PUBMED:11022042	9606	9606	Low Throughput	-	-	Through a CtBP-binding motif (P-X-D-L-R) conserved in MITR and HDACs 4, 5, and 7. Mutation of this sequence in MITR abolishes interaction with CtBP and impairs, but does not eliminate, the ability of MITR to inhibit MEF2-dependent transcription	-	BIOGRID	Q9UQL6	-	NP_005465|NP_001369322|NP_001015053	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245059	9734	1487	115083	107869	-	-	HDAC9	CTBP1	HD7|HD7b|HD9|HDAC|HDAC7|HDAC7B|HDAC9B|HDAC9FL|HDRP|MITR	BARS	Reconstituted Complex	physical	Zhang CL (2001)	PUBMED:11022042	9606	9606	Low Throughput	-	-	Through a CtBP-binding motif (P-X-D-L-R) conserved in MITR and HDACs 4, 5, and 7. Mutation of this sequence in MITR abolishes interaction with CtBP and impairs, but does not eliminate, the ability of MITR to inhibit MEF2-dependent transcription	-	BIOGRID	Q9UKV0	B7Z3P7	NP_848512|NP_848510|NP_055522|NP_478056|NP_001191073|NP_001191076|NP_001191077|NP_001191074|NP_001191075	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245474	672	1487	107140	107869	-	-	BRCA1	CTBP1	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	BARS	Affinity Capture-Western	physical	Li S (1999)	PUBMED:10196224	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P38398	E9PFZ0|A0A024R1V0	NP_009229|NP_009228|NP_009230|NP_009231|NP_009225	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245475	3065	1487	109315	107869	RP4-811H24.2	-	HDAC1	CTBP1	GON-10|HD1|RPD3|RPD3L1	BARS	Affinity Capture-Western	physical	Melhuish TA (2000)	PUBMED:10995736	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13547	Q6IT96	NP_004955	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245662	1487	3066	107869	109316	-	-	CTBP1	HDAC2	BARS	HD2|RPD3|YAF1	Affinity Capture-Western	physical	Koipally J (2000)	PUBMED:10766745	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q92769	-	NP_001518	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245665	1488	4193	107870	110358	RP11-59C5.2	-	CTBP2	MDM2	-	ACTFS|HDMX|hdm2	Reconstituted Complex	physical	Mirnezami AH (2003)	PUBMED:12867035	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	Q00987	A7UKX8|Q96DS0|A7UKX9|A7UKX7|G3XA89	NP_001354919|NP_001265391|NP_002383|NP_001138811|NP_001138812|NP_001138809	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245666	1488	4193	107870	110358	RP11-59C5.2	-	CTBP2	MDM2	-	ACTFS|HDMX|hdm2	Affinity Capture-Western	physical	Mirnezami AH (2003)	PUBMED:12867035	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	Q00987	A7UKX8|Q96DS0|A7UKX9|A7UKX7|G3XA89	NP_001354919|NP_001265391|NP_002383|NP_001138811|NP_001138812|NP_001138809	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245769	1487	8850	107869	114375	-	-	CTBP1	KAT2B	BARS	CAF|P/CAF|PCAF	Biochemical Activity	physical	Fuks F (1998)	PUBMED:9824164	9606	9606	Low Throughput	-	No Modification	-	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q92831	-	NP_003875	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245896	1487	6908	107869	112771	-	RP1-191N21.3	CTBP1	TBP	BARS	GTF2D|GTF2D1|HDL4|SCA17|TFIID	Reconstituted Complex	physical	Koipally J (2002)	PUBMED:11959865	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	P20226	Q32MN7	NP_001165556|NP_003185	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245916	1487	2959	107869	109214	-	RP11-82K18.1	CTBP1	GTF2B	BARS	TF2B|TFIIB	Reconstituted Complex	physical	Koipally J (2002)	PUBMED:11959865	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q00403	-	NP_001505	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252532	1487	27086	107869	117989	-	HSPC215	CTBP1	FOXP1	BARS	12CC4|QRF1|hFKH1B	Affinity Capture-Western	physical	Li S (2004)	PUBMED:14701752	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q9H334	Q548T7|Q8TEA2|A0A087X299|Q8N2P0|E9PFD3	NP_001231737|NP_001231743|NP_001231742|NP_001231741|NP_001231739|NP_001231745|NP_001231744|NP_116071|NP_001012523	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252533	1487	93986	107869	125073	-	-	CTBP1	FOXP2	BARS	CAGH44|SPCH1|TNRC10	Affinity Capture-Western	physical	Li S (2004)	PUBMED:14701752	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	O15409	B7ZLK5|X5D2H2|Q8N6B5|Q8N6B6	NP_683696|NP_683697|NP_001166238|NP_001166237|NP_683698|NP_055306	-	-	-	-	-	-	Homo sapiens	Homo sapiens
256464	4297	1487	110443	107869	hCG_1732268	-	KMT2A	CTBP1	ALL-1|CXXC7|HRX|HTRX1|MLL|MLL/GAS7|MLL1|MLL1A|TET1-MLL|TRX1|WDSTS	BARS	Reconstituted Complex	physical	Xia ZB (2003)	PUBMED:12829790	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q03164	-	NP_005924|NP_001184033	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
256465	4297	1487	110443	107869	hCG_1732268	-	KMT2A	CTBP1	ALL-1|CXXC7|HRX|HTRX1|MLL|MLL/GAS7|MLL1|MLL1A|TET1-MLL|TRX1|WDSTS	BARS	Affinity Capture-Western	physical	Xia ZB (2003)	PUBMED:12829790	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q03164	-	NP_005924|NP_001184033	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
256467	8535	1487	114105	107869	-	-	CBX4	CTBP1	NBP16|PC2	BARS	Reconstituted Complex	physical	Xia ZB (2003)	PUBMED:12829790	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00257	-	NP_003646	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259368	8535	1487	114105	107869	-	-	CBX4	CTBP1	NBP16|PC2	BARS	Biochemical Activity	physical	Kagey MH (2003)	PUBMED:12679040	9606	9606	Low Throughput	-	Sumoylation	-	-	BIOGRID	O00257	-	NP_003646	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
261963	1487	3065	107869	109315	-	RP4-811H24.2	CTBP1	HDAC1	BARS	GON-10|HD1|RPD3|RPD3L1	Reconstituted Complex	physical	Sundqvist A (1998)	PUBMED:9650586	9606	9606	Low Throughput	-	-	Both proteins purified.	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q13547	Q6IT96	NP_004955	-	-	-	-	-	-	Homo sapiens	Homo sapiens
263349	1487	2122	107869	108423	-	hCG_1640438	CTBP1	MECOM	BARS	AML1-EVI-1|EVI1|MDS1|MDS1-EVI1|PRDM3	Affinity Capture-Western	physical	Chakraborty S (2001)	PUBMED:11568182	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q13465|Q03112	E7EQ57|C7FEN9	NP_001098548|NP_001192123|NP_004982|NP_001098547|NP_001157472|NP_001157471|NP_005232	-	-	-	-	-	-	Homo sapiens	Homo sapiens
263761	1487	8535	107869	114105	-	-	CTBP1	CBX4	BARS	NBP16|PC2	Affinity Capture-Western	physical	Dahiya A (2001)	PUBMED:11583618	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	O00257	-	NP_003646	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275975	64375	1487	122146	107869	-	-	IKZF4	CTBP1	EOS|ZNFN1A4	BARS	Affinity Capture-Western	physical	Perdomo J (2002)	PUBMED:12444977	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9H2S9	-	NP_071910	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
278368	8535	1488	114105	107870	-	RP11-59C5.2	CBX4	CTBP2	NBP16|PC2	-	Affinity Capture-Western	physical	Sewalt RG (1999)	PUBMED:9858600	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00257	-	NP_003646	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Homo sapiens	Homo sapiens
278369	1488	8535	107870	114105	RP11-59C5.2	-	CTBP2	CBX4	-	NBP16|PC2	Affinity Capture-Western	physical	Sewalt RG (1999)	PUBMED:9858600	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	O00257	-	NP_003646	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280161	2275	1488	108566	107870	-	RP11-59C5.2	FHL3	CTBP2	SLIM2	-	Reconstituted Complex	physical	Turner J (2003)	PUBMED:12556451	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13643	Q96C98	NP_004459|NP_001230807	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280163	51274	1488	119426	107870	-	RP11-59C5.2	KLF3	CTBP2	BKLF	-	Affinity Capture-Western	physical	Turner J (2003)	PUBMED:12556451	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P57682	A0A024R9T8	NP_057615	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	-	-	-	-	-	-	Homo sapiens	Homo sapiens
286379	1488	55553	107870	120714	RP11-59C5.2	-	CTBP2	SOX6	-	HSSOX6|SOXD	Affinity Capture-Western	physical	Murakami A (2001)	PUBMED:11504872	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	P35712	-	NP_001139283|NP_001139291|NP_059978|NP_201583	-	-	-	-	-	-	Homo sapiens	Homo sapiens
287659	1487	2122	107869	108423	-	hCG_1640438	CTBP1	MECOM	BARS	AML1-EVI-1|EVI1|MDS1|MDS1-EVI1|PRDM3	Affinity Capture-Western	physical	Izutsu K (2001)	PUBMED:11313276	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q13465|Q03112	E7EQ57|C7FEN9	NP_001098548|NP_001192123|NP_004982|NP_001098547|NP_001157472|NP_001157471|NP_005232	-	-	-	-	-	-	Homo sapiens	Homo sapiens
287660	1487	2122	107869	108423	-	hCG_1640438	CTBP1	MECOM	BARS	AML1-EVI-1|EVI1|MDS1|MDS1-EVI1|PRDM3	Reconstituted Complex	physical	Izutsu K (2001)	PUBMED:11313276	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q13465|Q03112	E7EQ57|C7FEN9	NP_001098548|NP_001192123|NP_004982|NP_001098547|NP_001157472|NP_001157471|NP_005232	-	-	-	-	-	-	Homo sapiens	Homo sapiens
289255	1488	51274	107870	119426	RP11-59C5.2	-	CTBP2	KLF3	-	BKLF	Reconstituted Complex	physical	Turner J (1998)	PUBMED:9724649	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	P57682	A0A024R9T8	NP_057615	-	-	-	-	-	-	Homo sapiens	Homo sapiens
314512	1487	6935	107869	112796	-	RP11-472N13.4	CTBP1	ZEB1	BARS	AREB6|BZP|DELTAEF1|FECD6|NIL2A|PPCD3|TCF8|ZFHEP|ZFHX1A	Affinity Capture-Western	physical	Postigo AA (1999)	PUBMED:10359772	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	P37275	B2RBI8	NP_001310586|NP_001310604|NP_001310592|NP_001310589|NP_001310588|NP_001310587|NP_001310605|NP_001310585|NP_001310607|NP_001310583|NP_001310601|NP_001310581|NP_001310603|NP_001167565|NP_001167564|NP_001167567|NP_001167566|NP_001310600|NP_001310582|NP_001310576|NP_001310577|NP_001310574|NP_001310575|NP_001310572|NP_001310573|NP_001310570|NP_001310571|NP_001310580|NP_001310578|NP_001310579|NP_001310584|NP_001310594|NP_001310595|NP_001310590|NP_001310591|NP_001121600|NP_001310593|NP_110378|NP_001310602|NP_001310567|NP_001310606	-	-	-	-	-	-	Homo sapiens	Homo sapiens
